========= Job started  at Wed Mar 25 11:37:38 CET 2026 ==========
My jobid: 4587072
My array id: 5
cuequivariance or cuequivariance_torch is not available. Cuequivariance acceleration will be disabled.
['Ag', 'Pt', 'Pd', 'Ir', 'Au']
Using float32 for MACECalculator, which is faster but less accurate. Recommended for MD. Use float64 for geometry optimization.
      Step     Time          Energy          fmax
BFGS:    5 11:43:02     -357.931702        0.597890
BFGS:    6 11:43:02     -358.157104        0.596793
BFGS:    7 11:43:02     -358.422119        0.587490
BFGS:    8 11:43:02     -358.583984        0.517849
BFGS:    9 11:43:03     -358.829590        0.414023
BFGS:   10 11:43:03     -358.934875        0.428368
BFGS:   11 11:43:03     -359.019104        0.368990
BFGS:   12 11:43:03     -359.096313        0.335060
BFGS:   13 11:43:03     -359.180847        0.262283
BFGS:   14 11:43:03     -359.227936        0.244607
BFGS:   15 11:43:03     -359.256104        0.244293
BFGS:   16 11:43:03     -359.281982        0.178637
BFGS:   17 11:43:03     -359.308136        0.145842
BFGS:   18 11:43:03     -359.326721        0.148963
BFGS:   19 11:43:03     -359.337830        0.161498
BFGS:   20 11:43:03     -359.347137        0.114028
BFGS:   21 11:43:03     -359.356384        0.083337
BFGS:   22 11:43:03     -359.362946        0.069353
BFGS:   23 11:43:03     -359.366821        0.077499
BFGS:   24 11:43:03     -359.369934        0.057721
BFGS:   25 11:43:03     -359.372955        0.035121
      Step     Time          Energy          fmax
BFGS:    0 11:43:04     -317.194183        1.289496
BFGS:    1 11:43:04     -317.465240        1.191529
BFGS:    2 11:43:04     -318.478363        1.151565
BFGS:    3 11:43:04     -318.616974        0.725791
BFGS:    4 11:43:04     -318.715118        0.603073
BFGS:    5 11:43:04     -319.133362        0.404739
BFGS:    6 11:43:04     -319.176025        0.372865
BFGS:    7 11:43:04     -319.295685        0.299850
BFGS:    8 11:43:04     -319.354858        0.359141
BFGS:    9 11:43:04     -319.424652        0.313250
BFGS:   10 11:43:04     -319.457062        0.260186
BFGS:   11 11:43:04     -319.502777        0.255581
BFGS:   12 11:43:04     -319.544647        0.186438
BFGS:   13 11:43:04     -319.575745        0.180638
BFGS:   14 11:43:04     -319.594788        0.167703
BFGS:   15 11:43:04     -319.614838        0.202048
BFGS:   16 11:43:04     -319.637451        0.167334
BFGS:   17 11:43:05     -319.655670        0.125638
BFGS:   18 11:43:05     -319.666534        0.121438
BFGS:   19 11:43:05     -319.674438        0.119699
BFGS:   20 11:43:05     -319.683044        0.097555
BFGS:   21 11:43:05     -319.690704        0.068737
BFGS:   22 11:43:05     -319.695282        0.052879
BFGS:   23 11:43:05     -319.698181        0.055406
BFGS:   24 11:43:05     -319.701263        0.055218
BFGS:   25 11:43:05     -319.704315        0.037530
      Step     Time          Energy          fmax
BFGS:    0 11:43:05     -357.027008        1.921409
BFGS:    1 11:43:05     -357.754456        1.785028
BFGS:    2 11:43:05     -360.573669        0.661824
BFGS:    3 11:43:05     -360.672363        0.592343
BFGS:    4 11:43:05     -361.297638        0.529368
BFGS:    5 11:43:05     -361.503937        0.622006
BFGS:    6 11:43:05     -361.614227        0.586834
BFGS:    7 11:43:05     -362.021088        0.726334
BFGS:    8 11:43:06     -362.157867        0.693276
BFGS:    9 11:43:06     -362.354614        0.549190
BFGS:   10 11:43:06     -362.480469        0.473492
BFGS:   11 11:43:06     -362.683197        0.631331
BFGS:   12 11:43:06     -362.831665        0.624729
BFGS:   13 11:43:06     -362.939972        0.558295
BFGS:   14 11:43:06     -363.022461        0.465870
BFGS:   15 11:43:06     -363.133728        0.520000
BFGS:   16 11:43:06     -363.210449        0.427676
BFGS:   17 11:43:06     -363.257446        0.241270
BFGS:   18 11:43:06     -363.284912        0.211917
BFGS:   19 11:43:06     -363.308716        0.194884
BFGS:   20 11:43:06     -363.327820        0.187591
BFGS:   21 11:43:06     -363.338928        0.153459
BFGS:   22 11:43:06     -363.348206        0.135445
BFGS:   23 11:43:06     -363.357971        0.112591
BFGS:   24 11:43:06     -363.366760        0.085298
BFGS:   25 11:43:07     -363.373901        0.089972
BFGS:   26 11:43:07     -363.380981        0.084146
BFGS:   27 11:43:07     -363.388855        0.086824
BFGS:   28 11:43:07     -363.395935        0.075739
BFGS:   29 11:43:07     -363.400665        0.062227
BFGS:   30 11:43:07     -363.403992        0.056361
BFGS:   31 11:43:07     -363.407471        0.042793
      Step     Time          Energy          fmax
BFGS:    0 11:43:07     -323.900665        1.939176
BFGS:    1 11:43:07     -324.535278        1.822868
BFGS:    2 11:43:07     -326.967468        1.871575
BFGS:    3 11:43:07     -327.122223        1.663829
BFGS:    4 11:43:07     -327.824890        0.544419
BFGS:    5 11:43:07     -327.918671        0.598815
BFGS:    6 11:43:07     -328.142181        0.667140
BFGS:    7 11:43:07     -328.305786        0.512256
BFGS:    8 11:43:07     -328.412109        0.424941
BFGS:    9 11:43:07     -328.500519        0.500526
BFGS:   10 11:43:08     -328.602203        0.660801
BFGS:   11 11:43:08     -328.700409        0.507948
BFGS:   12 11:43:08     -328.757324        0.275367
BFGS:   13 11:43:08     -328.786896        0.201198
BFGS:   14 11:43:08     -328.813110        0.285792
BFGS:   15 11:43:08     -328.838745        0.272606
BFGS:   16 11:43:08     -328.857239        0.159571
BFGS:   17 11:43:08     -328.868744        0.122749
BFGS:   18 11:43:08     -328.877930        0.138810
BFGS:   19 11:43:08     -328.888092        0.168610
BFGS:   20 11:43:08     -328.897034        0.123027
BFGS:   21 11:43:08     -328.902740        0.115729
BFGS:   22 11:43:08     -328.907104        0.087146
BFGS:   23 11:43:08     -328.911255        0.071696
BFGS:   24 11:43:08     -328.914642        0.054819
BFGS:   25 11:43:08     -328.917084        0.061540
BFGS:   26 11:43:09     -328.919342        0.057721
BFGS:   27 11:43:09     -328.922028        0.055076
BFGS:   28 11:43:09     -328.924988        0.050760
BFGS:   29 11:43:09     -328.927307        0.031832
      Step     Time          Energy          fmax
BFGS:    0 11:43:09     -322.330017        2.312023
BFGS:    1 11:43:09     -322.845947        2.191439
BFGS:    2 11:43:09     -324.636353        0.685369
BFGS:    3 11:43:09     -324.715942        0.593973
BFGS:    4 11:43:09     -324.860779        0.672855
BFGS:    5 11:43:09     -325.219788        0.672426
BFGS:    6 11:43:09     -325.306885        0.399371
BFGS:    7 11:43:09     -325.370728        0.417345
BFGS:    8 11:43:09     -325.431091        0.347711
BFGS:    9 11:43:09     -325.504639        0.400700
BFGS:   10 11:43:09     -325.554504        0.380004
BFGS:   11 11:43:09     -325.600525        0.510415
BFGS:   12 11:43:09     -325.652649        0.477722
BFGS:   13 11:43:10     -325.700989        0.314398
BFGS:   14 11:43:10     -325.740845        0.298294
BFGS:   15 11:43:10     -325.768311        0.310747
BFGS:   16 11:43:10     -325.788818        0.322438
BFGS:   17 11:43:10     -325.809265        0.199021
BFGS:   18 11:43:10     -325.823608        0.154295
BFGS:   19 11:43:10     -325.832336        0.159566
BFGS:   20 11:43:10     -325.841309        0.212322
BFGS:   21 11:43:10     -325.851196        0.166297
BFGS:   22 11:43:10     -325.858887        0.101931
BFGS:   23 11:43:10     -325.863647        0.073760
BFGS:   24 11:43:10     -325.867432        0.091402
BFGS:   25 11:43:10     -325.871582        0.100001
